generation,best_fitness,worst_fitness,mean_fitness,std_fitness,best_scale_fit,best_density_fit,best_sync_fit,genre
93,0.995988,0.970716,0.994785,0.003921,0.9979,0.9955,0.9958,classical
94,0.995994,0.950874,0.994145,0.006999,0.998,0.9955,0.9958,classical
95,0.996002,0.989739,0.995373,0.001492,0.998,0.9955,0.9958,classical
96,0.996004,0.976531,0.995232,0.002843,0.998,0.9955,0.9958,classical
97,0.99601,0.934795,0.993413,0.01023,0.998,0.9955,0.9958,classical
98,0.996012,0.958997,0.993383,0.008627,0.998,0.9955,0.9958,classical
99,0.99602,0.990741,0.995877,0.000734,0.9981,0.9955,0.9958,classical
0,0.881483,0.437957,0.664645,0.102039,0.9387,0.9225,0.8062,electronic
1,0.881483,0.557256,0.718035,0.080062,0.9387,0.9225,0.8062,electronic
2,0.891684,0.55206,0.752787,0.085161,0.9495,0.9225,0.6957,electronic
3,0.905934,0.662185,0.804206,0.062118,0.9448,0.9225,0.6957,electronic
4,0.916116,0.726854,0.842396,0.042168,0.929,0.9225,0.8062,electronic
5,0.94089,0.774006,0.861291,0.036076,0.9495,0.9541,0.8602,electronic
6,0.943216,0.802952,0.878628,0.033316,0.939,0.9672,0.9183,electronic
7,0.943216,0.746954,0.882948,0.038214,0.939,0.9672,0.9183,electronic
8,0.948442,0.806803,0.89854,0.03395,0.9372,0.9541,0.9163,electronic
9,0.956188,0.850908,0.909505,0.024515,0.9468,0.9769,0.9183,electronic
10,0.956188,0.845508,0.914976,0.028571,0.9468,0.9769,0.9183,electronic
11,0.966865,0.774513,0.918683,0.03897,0.9622,0.9541,0.9566,electronic
12,0.97321,0.793603,0.930995,0.030266,0.9571,0.9672,0.9916,electronic
13,0.97321,0.810446,0.93637,0.028587,0.9571,0.9672,0.9916,electronic
14,0.97321,0.882656,0.942442,0.021518,0.9571,0.9672,0.9916,electronic
15,0.97321,0.871285,0.939089,0.025554,0.9571,0.9672,0.9916,electronic
16,0.973772,0.861605,0.941374,0.026986,0.959,0.9672,0.9916,electronic
17,0.97612,0.887438,0.94519,0.022694,0.9792,0.9769,0.9566,electronic
18,0.97612,0.869005,0.946296,0.024046,0.9792,0.9769,0.9566,electronic
19,0.977284,0.844915,0.945265,0.027247,0.9707,0.9672,0.9916,electronic
20,0.981998,0.879901,0.950508,0.020745,0.9753,0.9769,0.9916,electronic
21,0.981998,0.882226,0.953995,0.021575,0.9753,0.9769,0.9916,electronic
22,0.981998,0.874003,0.953947,0.023631,0.9753,0.9769,0.9916,electronic
23,0.981998,0.853565,0.958062,0.027196,0.9753,0.9769,0.9916,electronic
24,0.981998,0.910227,0.962084,0.016158,0.9753,0.9769,0.9916,electronic
25,0.983293,0.890802,0.963045,0.020439,0.9695,0.9904,0.9916,electronic
26,0.983293,0.907556,0.963572,0.018532,0.9695,0.9904,0.9916,electronic
27,0.98391,0.857789,0.958489,0.029059,0.9692,0.9904,0.9963,electronic
28,0.984642,0.818983,0.960701,0.032402,0.9716,0.9904,0.9963,electronic
29,0.985697,0.849428,0.961258,0.028153,0.9762,0.9904,0.9963,electronic
30,0.986262,0.880149,0.962565,0.022371,0.977,0.9904,0.9963,electronic
31,0.98791,0.875946,0.965717,0.022195,0.972,0.9904,0.9916,electronic
32,0.98791,0.866413,0.965375,0.02647,0.972,0.9904,0.9916,electronic
33,0.98791,0.91014,0.965649,0.023124,0.972,0.9904,0.9916,electronic
34,0.989052,0.875562,0.967542,0.021943,0.9758,0.9904,0.9916,electronic
35,0.989052,0.892679,0.967441,0.023693,0.9758,0.9904,0.9916,electronic
36,0.989052,0.857282,0.970241,0.02406,0.9758,0.9904,0.9916,electronic
37,0.989783,0.911377,0.972283,0.018253,0.9769,0.9904,0.9963,electronic
38,0.989783,0.905386,0.973466,0.01646,0.9769,0.9904,0.9963,electronic
39,0.989783,0.924239,0.972335,0.015782,0.9769,0.9904,0.9963,electronic
40,0.991338,0.907197,0.971308,0.020202,0.9821,0.9904,0.9963,electronic
41,0.991338,0.864032,0.972712,0.021946,0.9821,0.9904,0.9963,electronic
42,0.991338,0.879219,0.971832,0.022456,0.9821,0.9904,0.9963,electronic
43,0.991756,0.926247,0.975125,0.016437,0.9835,0.9904,0.9963,electronic
44,0.991756,0.912808,0.975402,0.016721,0.9835,0.9904,0.9963,electronic
45,0.991941,0.90557,0.975851,0.021776,0.9841,0.9904,0.9963,electronic
46,0.991941,0.905761,0.973947,0.021719,0.9841,0.9904,0.9963,electronic
47,0.991941,0.877786,0.973579,0.023348,0.9841,0.9904,0.9963,electronic
48,0.991941,0.874671,0.975493,0.021659,0.9841,0.9904,0.9963,electronic
49,0.991941,0.925065,0.980116,0.014423,0.9841,0.9904,0.9963,electronic
50,0.991941,0.89937,0.979639,0.02014,0.9841,0.9904,0.9963,electronic
51,0.991981,0.912078,0.978157,0.02095,0.9832,0.9904,0.9963,electronic
52,0.991981,0.853696,0.976596,0.027468,0.9832,0.9904,0.9963,electronic
53,0.991981,0.928547,0.981391,0.015842,0.9832,0.9904,0.9963,electronic
54,0.991981,0.93514,0.981751,0.015354,0.9832,0.9904,0.9963,electronic
55,0.991981,0.908265,0.982533,0.015864,0.9832,0.9904,0.9963,electronic
56,0.991981,0.904441,0.975362,0.02421,0.9832,0.9904,0.9963,electronic
57,0.991981,0.90827,0.980332,0.020758,0.9832,0.9904,0.9963,electronic
58,0.991981,0.899192,0.981725,0.018857,0.9832,0.9904,0.9963,electronic
59,0.991981,0.931991,0.981422,0.015729,0.9832,0.9904,0.9963,electronic
60,0.991981,0.886584,0.979211,0.022823,0.9832,0.9904,0.9963,electronic
61,0.991981,0.939936,0.98243,0.01452,0.9832,0.9904,0.9963,electronic
62,0.991981,0.868069,0.981647,0.020807,0.9832,0.9904,0.9963,electronic
63,0.991981,0.931158,0.98198,0.014761,0.9832,0.9904,0.9963,electronic
64,0.991981,0.905161,0.982397,0.015696,0.9832,0.9904,0.9963,electronic
65,0.992,0.924066,0.983975,0.013056,0.9832,0.9904,0.9963,electronic
66,0.992,0.948615,0.984625,0.010027,0.9832,0.9904,0.9963,electronic
67,0.992,0.93077,0.98513,0.012038,0.9832,0.9904,0.9963,electronic
68,0.992042,0.917402,0.984582,0.01444,0.9834,0.9904,0.9963,electronic
69,0.992042,0.898578,0.980326,0.021231,0.9834,0.9904,0.9963,electronic
70,0.992231,0.939525,0.983351,0.012548,0.984,0.9904,0.9963,electronic
71,0.992526,0.950837,0.987155,0.00811,0.985,0.9904,0.9963,electronic
72,0.99253,0.926359,0.985205,0.01333,0.985,0.9904,0.9963,electronic
73,0.99253,0.894657,0.983446,0.018965,0.985,0.9904,0.9963,electronic
74,0.99253,0.94175,0.985975,0.01215,0.985,0.9904,0.9963,electronic
75,0.99253,0.896101,0.983753,0.017981,0.985,0.9904,0.9963,electronic
76,0.99253,0.897419,0.985733,0.016067,0.985,0.9904,0.9963,electronic
77,0.99253,0.916317,0.986245,0.014825,0.985,0.9904,0.9963,electronic
78,0.99253,0.942066,0.98891,0.008629,0.985,0.9904,0.9963,electronic
79,0.99253,0.948669,0.988861,0.009559,0.985,0.9904,0.9963,electronic
80,0.99253,0.903264,0.988221,0.014849,0.985,0.9904,0.9963,electronic
81,0.99253,0.936503,0.989368,0.008935,0.985,0.9904,0.9963,electronic
82,0.99253,0.95835,0.99005,0.005823,0.985,0.9904,0.9963,electronic
83,0.99253,0.888157,0.98535,0.020937,0.985,0.9904,0.9963,electronic
84,0.99253,0.952745,0.990643,0.006015,0.985,0.9904,0.9963,electronic
85,0.99253,0.958311,0.990055,0.006379,0.985,0.9904,0.9963,electronic
86,0.99253,0.932072,0.987519,0.012765,0.985,0.9904,0.9963,electronic
87,0.99253,0.933498,0.989123,0.010242,0.985,0.9904,0.9963,electronic
88,0.99253,0.978316,0.991133,0.003032,0.985,0.9904,0.9963,electronic
89,0.992651,0.974854,0.991425,0.00288,0.985,0.991,0.9963,electronic
90,0.992651,0.941121,0.991037,0.007284,0.985,0.991,0.9963,electronic
91,0.993454,0.941835,0.990592,0.009161,0.985,0.995,0.9963,electronic
92,0.993454,0.916521,0.990271,0.011254,0.985,0.995,0.9963,electronic
93,0.993454,0.99156,0.992506,0.000291,0.985,0.995,0.9963,electronic
94,0.993454,0.96712,0.991911,0.003603,0.985,0.995,0.9963,electronic
95,0.993454,0.93477,0.990771,0.009237,0.985,0.995,0.9963,electronic
96,0.993454,0.916786,0.990267,0.012144,0.985,0.995,0.9963,electronic
97,0.993454,0.930707,0.990646,0.011029,0.985,0.995,0.9963,electronic
98,0.993454,0.99179,0.993077,0.000484,0.985,0.995,0.9963,electronic
99,0.993454,0.99253,0.993269,0.000322,0.985,0.995,0.9963,electronic
