constraint_a,constraint_b,tightness,trial,entropy,range,density,syncopation,surprise
funnel,dissonance,0.2,4,4.3106,24,1.8394,0.8276,0.9557
funnel,dissonance,0.5,0,3.9128,24,1.7312,0.8,0.8119
funnel,dissonance,0.5,1,3.8602,24,1.7882,0.7368,0.9258
funnel,dissonance,0.5,2,3.9866,24,1.9375,0.7667,0.9289
funnel,dissonance,0.5,3,4.3037,24,1.6423,0.7885,0.9057
funnel,dissonance,0.5,4,4.0263,25,1.851,0.7119,0.9386
funnel,dissonance,0.8,0,3.9767,24,1.78,0.5455,0.8996
funnel,dissonance,0.8,1,4.1805,24,1.8818,0.5333,0.9303
funnel,dissonance,0.8,2,3.8582,23,1.8684,0.6207,0.954
funnel,dissonance,0.8,3,3.7625,23,1.6278,0.4615,0.8845
funnel,dissonance,0.8,4,3.9984,24,1.6292,0.4615,0.9269
consensus,consensus,0.2,0,3.8035,15,2.0517,0.9194,0.9121
consensus,consensus,0.2,1,3.8414,15,2.1793,0.9104,0.7283
consensus,consensus,0.2,2,3.733,15,2.1938,0.9275,0.7761
consensus,consensus,0.2,3,3.7114,15,1.5166,0.8958,0.969
consensus,consensus,0.2,4,3.7374,16,2.2652,0.8857,0.7755
consensus,consensus,0.5,0,2.5742,5,2.2262,0.8841,0.7757
consensus,consensus,0.5,1,2.6073,6,1.9739,0.8983,0.8058
consensus,consensus,0.5,2,2.5688,6,2.0265,0.9,0.8291
consensus,consensus,0.5,3,2.7802,6,1.9377,0.9344,0.861
consensus,consensus,0.5,4,2.7205,6,1.9761,0.9048,0.8715
consensus,consensus,0.8,0,0.8256,1,1.7123,0.8889,0.9068
consensus,consensus,0.8,1,-0.0,0,2.0783,0.8154,0.4459
consensus,consensus,0.8,2,0.8471,1,2.4226,0.8767,0.6372
consensus,consensus,0.8,3,0.8691,1,1.9561,0.8548,0.8811
consensus,consensus,0.8,4,0.9313,1,1.642,0.8367,0.853
consensus,tempo,0.2,0,3.8844,19,2.1488,0.7846,0.6882
consensus,tempo,0.2,1,3.8269,19,1.7419,0.7222,0.7793
consensus,tempo,0.2,2,3.9926,19,2.3415,0.7639,0.9587
consensus,tempo,0.2,3,4.0199,19,1.728,0.7407,0.8616
consensus,tempo,0.2,4,3.9436,20,1.6378,0.7692,0.9296
consensus,tempo,0.5,0,3.6114,12,2.375,0.6842,0.7782
consensus,tempo,0.5,1,3.5368,12,1.7419,0.7407,0.7427
consensus,tempo,0.5,2,3.5494,12,2.0645,0.6875,0.829
consensus,tempo,0.5,3,3.5644,12,1.7742,0.7636,0.9579
consensus,tempo,0.5,4,3.4111,12,2.0333,0.7377,0.9693
consensus,tempo,0.8,0,2.4799,5,2.0645,0.4062,0.7958
consensus,tempo,0.8,1,2.4992,5,2.1667,0.4154,0.664
consensus,tempo,0.8,2,2.3506,5,2.4194,0.5067,0.7292
consensus,tempo,0.8,3,2.4718,5,2.0333,0.4262,0.801
consensus,tempo,0.8,4,2.4752,5,2.0,0.5238,0.7393
consensus,dissonance,0.2,0,4.0679,19,1.8019,0.9474,0.8687
consensus,dissonance,0.2,1,4.1278,19,2.5756,0.8765,0.8595
consensus,dissonance,0.2,2,4.1174,19,1.7467,0.9057,0.8499
consensus,dissonance,0.2,3,4.0825,20,1.9217,0.8947,0.9475
consensus,dissonance,0.2,4,4.0908,20,2.5515,0.85,0.6687
consensus,dissonance,0.5,0,3.3481,12,2.3985,0.9333,0.6937
consensus,dissonance,0.5,1,3.5692,13,2.3491,0.8592,0.7313
consensus,dissonance,0.5,2,3.7121,14,2.5586,0.8947,0.8185
consensus,dissonance,0.5,3,3.4529,13,2.1955,0.9265,0.8218
consensus,dissonance,0.5,4,3.5489,13,1.7767,0.9273,0.7397
consensus,dissonance,0.8,0,1.6436,4,2.1198,0.8615,0.8479
consensus,dissonance,0.8,1,2.4074,6,1.9749,0.9508,0.7246
consensus,dissonance,0.8,2,2.2818,7,1.7047,0.9245,0.7969
consensus,dissonance,0.8,3,1.8216,4,2.0297,0.9531,0.7336
consensus,dissonance,0.8,4,2.2685,5,2.1037,0.9385,0.8164
tempo,tempo,0.2,0,4.2843,24,1.9048,0.7,0.8052
tempo,tempo,0.2,1,4.3657,24,2.4882,0.7468,0.7734
tempo,tempo,0.2,2,4.446,24,2.5714,0.7407,0.6822
tempo,tempo,0.2,3,4.4018,24,1.9672,0.7167,0.814
tempo,tempo,0.2,4,4.1986,24,1.7143,0.7593,0.7993
tempo,tempo,0.5,0,4.2149,24,1.871,0.6379,0.7813
tempo,tempo,0.5,1,4.4445,24,2.1935,0.6765,0.9434
tempo,tempo,0.5,2,4.3671,24,2.0645,0.7031,0.7951
tempo,tempo,0.5,3,4.2516,24,1.7188,0.4909,0.981
tempo,tempo,0.5,4,4.2444,24,1.9149,0.7167,0.7102
tempo,tempo,0.8,0,4.416,24,1.9032,0.5085,0.7888
tempo,tempo,0.8,1,4.3078,24,2.0317,0.5625,0.8332
tempo,tempo,0.8,2,4.2848,24,1.8095,0.4386,0.8214
tempo,tempo,0.8,3,4.3883,24,2.375,0.5,0.6946
tempo,tempo,0.8,4,4.2698,24,1.871,0.4138,0.9792
tempo,dissonance,0.2,0,4.2782,24,1.9683,0.7419,0.852
tempo,dissonance,0.2,1,4.2465,24,1.9048,0.7333,0.7836
tempo,dissonance,0.2,2,4.4807,24,2.336,0.7808,0.6415
tempo,dissonance,0.2,3,4.4733,24,2.0,0.7667,0.7033
tempo,dissonance,0.2,4,4.2175,22,1.728,0.7222,0.9812
tempo,dissonance,0.5,0,4.1858,25,1.9451,0.5932,0.8982
tempo,dissonance,0.5,1,4.3036,24,1.9787,0.5968,0.6936
tempo,dissonance,0.5,2,4.1379,25,2.0842,0.6515,0.8904
tempo,dissonance,0.5,3,3.8127,24,2.1333,0.6094,0.7634
tempo,dissonance,0.5,4,4.1241,24,2.4947,0.5949,0.7333
tempo,dissonance,0.8,0,4.1971,24,2.1587,0.6029,0.6675
