genre_a,genre_b,t,composition,n_events,entropy,unique_pitches,scale_conf_a,scale_conf_b,center_dist_a,center_dist_b
jazz,classical,0.8947,4,24,3.585,14,0.625,0.5,0.941,0.6076
jazz,classical,0.9474,0,25,3.2537,13,0.72,0.68,0.3033,0.6367
jazz,classical,0.9474,1,23,3.4473,12,0.6087,0.4783,0.8406,0.5072
jazz,classical,0.9474,2,23,3.1164,10,0.7391,0.5217,0.4855,0.1522
jazz,classical,0.9474,3,29,3.1256,11,0.5517,0.8276,0.3879,0.7213
jazz,classical,0.9474,4,25,3.7533,15,0.68,0.64,0.0433,0.3767
jazz,classical,1.0,0,26,3.1904,12,0.4615,0.6154,0.2468,0.5801
jazz,classical,1.0,1,20,3.3464,11,0.75,0.45,1.05,0.7167
jazz,classical,1.0,2,17,3.2639,11,0.5294,0.5294,0.4167,0.0833
jazz,classical,1.0,3,18,3.4613,12,0.5,0.6111,2.5046,2.1713
jazz,classical,1.0,4,23,4.0888,18,0.6957,0.5217,0.7428,0.4094
jazz,hiphop,0.0,0,35,4.4576,24,0.5429,0.4571,1.2548,2.0881
jazz,hiphop,0.0,1,35,3.5853,16,0.7714,0.6857,0.3976,0.4357
jazz,hiphop,0.0,2,22,3.2935,13,0.7273,0.5909,0.4773,0.3561
jazz,hiphop,0.0,3,20,3.8842,16,0.65,0.6,0.5167,1.35
jazz,hiphop,0.0,4,24,4.085,18,0.5,0.375,1.2396,2.0729
jazz,hiphop,0.0526,0,31,4.1069,19,0.6452,0.3871,1.3468,2.1801
jazz,hiphop,0.0526,1,26,4.056,18,0.5385,0.3846,1.1506,1.984
jazz,hiphop,0.0526,2,32,4.0695,19,0.5938,0.4062,0.4193,1.2526
jazz,hiphop,0.0526,3,27,3.736,15,0.5926,0.4815,0.3117,1.1451
jazz,hiphop,0.0526,4,28,3.8658,17,0.5357,0.3929,1.9613,2.7946
jazz,hiphop,0.1053,0,37,4.317,22,0.5676,0.3514,0.0473,0.786
jazz,hiphop,0.1053,1,24,3.6368,14,0.5833,0.375,1.3194,2.1528
jazz,hiphop,0.1053,2,30,4.0729,19,0.4,0.1333,1.7389,2.5722
jazz,hiphop,0.1053,3,26,3.7672,16,0.4615,0.1923,1.9519,2.7853
jazz,hiphop,0.1053,4,25,2.9925,11,0.68,0.28,0.7767,0.0567
jazz,hiphop,0.1579,0,29,3.647,15,0.6207,0.3103,0.681,0.1523
jazz,hiphop,0.1579,1,25,4.1337,20,0.72,0.36,0.0733,0.76
jazz,hiphop,0.1579,2,21,3.1776,11,0.6667,0.5714,0.2659,0.5675
jazz,hiphop,0.1579,3,26,2.9001,12,0.6923,0.1538,0.7532,0.0801
jazz,hiphop,0.1579,4,33,4.332,23,0.5152,0.3636,0.2071,1.0404
jazz,hiphop,0.2105,0,35,4.2646,23,0.6571,0.5429,0.3286,1.1619
jazz,hiphop,0.2105,1,20,3.5219,13,0.65,0.45,0.25,1.0833
jazz,hiphop,0.2105,2,21,3.749,15,0.6667,0.5714,1.0992,1.9325
jazz,hiphop,0.2105,3,30,3.6062,14,0.6,0.5,0.8167,1.65
jazz,hiphop,0.2105,4,29,3.5723,17,0.7931,0.6552,0.5086,0.3247
jazz,hiphop,0.2632,0,28,3.7804,16,0.6429,0.5357,0.3482,0.4851
jazz,hiphop,0.2632,1,20,3.9842,17,0.65,0.5,0.7875,1.6208
jazz,hiphop,0.2632,2,30,2.97,13,0.7667,0.6333,0.8833,0.05
jazz,hiphop,0.2632,3,28,3.4502,15,0.6786,0.5714,0.6577,0.1756
jazz,hiphop,0.2632,4,20,3.8842,16,0.55,0.5,1.7542,2.5875
jazz,hiphop,0.3158,0,27,3.9764,18,0.5556,0.4444,0.0586,0.7747
jazz,hiphop,0.3158,1,25,3.7231,15,0.56,0.28,0.6533,0.18
jazz,hiphop,0.3158,2,20,3.3842,12,0.5,0.4,0.7042,0.1292
jazz,hiphop,0.3158,3,30,3.9647,17,0.5667,0.4,0.8417,1.675
jazz,hiphop,0.3158,4,27,3.7505,16,0.4815,0.3333,0.3457,0.4877
jazz,hiphop,0.3684,0,23,4.1757,19,0.3913,0.3043,0.3587,1.192
jazz,hiphop,0.3684,1,21,4.1659,19,0.5714,0.381,0.1984,1.0317
jazz,hiphop,0.3684,2,30,3.3974,14,0.4,0.3333,0.9278,0.0944
jazz,hiphop,0.3684,3,22,3.7888,15,0.5,0.3636,0.4129,0.4205
jazz,hiphop,0.3684,4,25,3.8937,17,0.56,0.52,0.88,1.7133
jazz,hiphop,0.4211,0,28,3.5567,14,0.8214,0.6429,0.7649,0.0685
jazz,hiphop,0.4211,1,25,4.2439,20,0.68,0.44,0.72,1.5533
jazz,hiphop,0.4211,2,24,4.085,18,0.625,0.5,0.0868,0.7465
jazz,hiphop,0.4211,3,21,3.8209,15,0.7619,0.4762,0.1667,0.6667
jazz,hiphop,0.4211,4,27,4.0323,18,0.5185,0.4815,0.3457,1.179
jazz,hiphop,0.4737,0,17,3.4992,12,0.5294,0.2941,0.451,1.2843
jazz,hiphop,0.4737,1,25,3.9737,18,0.68,0.6,0.4233,0.41
jazz,hiphop,0.4737,2,27,3.9582,17,0.3333,0.1481,0.537,1.3704
jazz,hiphop,0.4737,3,31,4.1069,19,0.6452,0.5161,0.1532,0.6801
jazz,hiphop,0.4737,4,35,3.9189,17,0.5714,0.2857,0.6452,1.4786
jazz,hiphop,0.5263,0,15,2.8729,8,0.5333,0.4,0.3611,1.1944
jazz,hiphop,0.5263,1,27,3.838,16,0.4815,0.3704,0.466,1.2994
jazz,hiphop,0.5263,2,23,3.3603,12,0.6087,0.4348,0.4674,0.3659
jazz,hiphop,0.5263,3,23,3.5884,14,0.6087,0.5217,0.0942,0.9275
jazz,hiphop,0.5263,4,22,2.7722,9,0.3182,0.2727,1.1742,0.3409
jazz,hiphop,0.5789,0,26,3.3018,11,0.6538,0.6154,0.0897,0.7436
jazz,hiphop,0.5789,1,23,3.7623,15,0.4783,0.4348,0.7355,0.0978
jazz,hiphop,0.5789,2,27,3.9862,17,0.4815,0.3333,0.2593,1.0926
jazz,hiphop,0.5789,3,27,3.6303,15,0.6667,0.5926,0.108,0.7253
jazz,hiphop,0.5789,4,23,3.5555,13,0.4783,0.3478,1.0145,0.1812
jazz,hiphop,0.6316,0,17,3.7345,14,0.6471,0.4706,0.098,0.7353
jazz,hiphop,0.6316,1,23,3.671,15,0.6522,0.5652,0.9239,1.7572
jazz,hiphop,0.6316,2,25,4.2439,20,0.52,0.44,0.73,1.5633
jazz,hiphop,0.6316,3,24,3.8868,16,0.6667,0.4167,0.0486,0.7847
jazz,hiphop,0.6316,4,24,3.6054,14,0.5417,0.375,1.2326,2.066
jazz,hiphop,0.6842,0,19,3.6163,13,0.6842,0.4737,0.136,0.9693
jazz,hiphop,0.6842,1,19,3.1556,11,0.7368,0.6842,1.1184,1.9518
jazz,hiphop,0.6842,2,15,2.4635,8,0.9333,0.8,1.2056,0.3722
jazz,hiphop,0.6842,3,23,3.8279,16,0.6957,0.6087,0.8913,0.058
jazz,hiphop,0.6842,4,23,3.969,17,0.6957,0.3913,0.2862,0.5471
jazz,hiphop,0.7368,0,20,3.6464,14,0.45,0.3,0.7667,0.0667
jazz,hiphop,0.7368,1,16,3.1556,10,0.5,0.4375,0.3542,0.4792
